column,do no create,name,type,module,options,label,parentenum,id_name,related module
"   coding_termination_prior_to_renewal__c bool NOT NULL,",,,,s,,,,,
"   coding_term_for_convenience_notice_dd__c numeric(19),",,,,s,,Coding Term for Convenience Notice DD,,,
"   coding_termination_for_convenience__c bool NOT NULL,",,,enum,s,the30_60_90_list,,,,
"   confidence_level__c numeric(19),",,,,a,,,,,
"   confidentiality_default_cure_period__c varchar(255),",,,enum,a,gen_period_list,,,,
"   confidentiality_language__c bool NOT NULL,",,,,a,,,,,
"   courior_tracking_number__c varchar(255),",,,,a,,,,,
"   dispute_notice_period__c varchar(255),",,,enum,a,gen_period_list,,,,
"   estimated_billing__c bool NOT NULL,",,,,s,,,,,
"   estimated_fft_existing_volume__c numeric(19),",,,,s,,Estimated FFT Existing Volume,,,
"   estimated_fft_new_volume__c numeric(19),",,,,s,,Estimated FFT New Volume,,,
"   estimated_tos_existing_volume__c numeric(19),",,,,s,,Estimated TOS Existing Volume,,,
"   estimated_tos_new_volume__c numeric(19),",,,,s,,Estimated TOS New Volume,,,
"   extended_adt_retention__c varchar(255),",,,enum,s,extended_adt_retention,Extended ADT Retention,,,
"   extended_report_retention__c bool NOT NULL,",,,,s,,,,,
"   extended_voice_retention__c varchar(255),",,,enum,s,extended_voice_retention,,,,
"   fft_attachment_number__c numeric(19),",,,,s,,FFT Attachment Number,,,
"   fft_auto_renew__c bool NOT NULL,",,,,s,,FFT Auto Renew,,,
"   fft_billing__c varchar(255),",,,enum,s,tos_billing_list,FFT Billing,,,
"   fft_volume_guarantee__c varchar(255),",,,,s,,FFT Volume Guarantee,,,
"   fft_effective_date__c date,",,,,s,,FFT Effective Date,,,
"   fft_evergreen__c bool NOT NULL,",,,,s,,FFT Evergreen,,,
"   fft_expiration_date__c date,",,,,s,,FFT Expiration Date,,,
"   fft_implementation_training_fees__c varchar(255),",,,enum,s,impl_and_training_fees_list,FFT Implementation Training Fees,,,
"   fft_pricing_category_rate__c numeric(19),",,,,s,,FFT Pricing Category Rate,,,
"   fft_pricing_category_uom__c varchar(255),",,,multienum,s,acct_tos_uom_list,FFT Pricing Category UOM,,,
"   requires_po__c bool NOT NULL,",,,,a,,Requires PO,,,
"   fft_pricing_increase__c varchar(255),",,,enum,s,pricing_increase_list,FFT Pricing Increase,,,
"   fft_pricing_other__c text,",,,,s,,FFT Pricing,,,
"   fft_renewal_consent__c bool NOT NULL,",,,,s,,FFT Renewal Consent,,,
"   fft_renewal_notice_days__c numeric(19),",,,,s,,FFT Renewal Notice Days,,,
"   fft_renewal_notification_period_dd__c numeric(19),",,,,s,,FFT Renewal Notification Period DD,,,
"   fft_renewal_start_date__c date,",,,,s,,FFT Renewal Start Date,,,
"   fft_renewal_term_months__c numeric(19),",,,,s,,FFT Renewal Term Months,,,
"   fft_renewal_terms__c text,",,,,s,,FFT Renewal Terms,,,
"   fft_revenue__c numeric(19),",,,,s,,FFT Revenue,,,
"   fft_sow_date__c date,",,,,s,,FFT SOW Date,,,
"   fft_sow_version__c numeric(19),",,,,s,,FFT SOW Version,,,
"   fft_shipping__c varchar(255),",,,enum,s,shipping_list,FFT Shipping,,,
"   fft_term_months__c numeric(19),",,,,s,,FFT Term Months,,,
"   fft_termination_prior_to_renewal_days__c varchar(255),",,,enum,s,the30_60_90_list,FFT Termination Prior to Renewal Days,,,
"   fft_termination_prior_to_renewal__c bool NOT NULL,",,,,s,,FFT Termination Prior to Renewal,,,
"   fft_term_for_convenience_notice_dd__c numeric(19),",,,enum,s,tos_term_for_conv_list,FFT Term for Convenience,,,
"   fft_termination_for_convenience__c bool NOT NULL,",,,,s,,FFT Termination for Convenience,,,
"   facility_address__c varchar(80),",,,,a,,,,,
"   facility_billing_address__c varchar(80),",,,,a,,,,,
"   facility_billing_name__c varchar(255),",,,,a,,,,,
"   facility_city_state_zip_code_billing__c varchar(255),",,,,a,,,,,
"   facility_city_state_and_zip_code_billin__c varchar(80),",,,,a,,,,,
"   facility_city_state_and_zip_code__c varchar(80),",,,,a,,,,,
"   facility_contact_e_mail_address_billing__c varchar(80),",,,,a,,,,,
"   facility_contact_e_mail_address__c varchar(80),",,,,a,,,,,
"   facility_contact_e_mail_billing__c varchar(80),",,,,a,,,,,
"   facility_contact_name_billing__c varchar(255),",,,,a,,,,,
"   facility_contact_name__c varchar(255),",,,,a,,,,,
"   facility_contact_phone_number_billing__c numeric(19),",,,,a,,,,,
"   facility_contact_phone_number__c numeric(19),",,,,a,,,,,
"   facility_contact_title_billing__c varchar(255),",,,,a,,,,,
"   facility_contact_title__c varchar(255),",,,,a,,,,,
"   facility_name__c varchar(255),",,,,a,,,,,
"   favored_nation_language__c bool NOT NULL,",,,,a,,,,,
"   federal_agency__c bool NOT NULL,",,,,a,,,,,
"   fluency_for_coding_platform__c bool NOT NULL,",,,,s,,,,,
"   gma_attachment_effective_date__c date,",,,,a,,GMA Attachment Effective Date,,,
"   gma_attachment_number__c numeric(19),",,,,a,,GMA Attachment Number,,,
"   gma_expiration_date__c date,",,,,a,,GMA Expiration Date,,,
"   gma_renewal_term_months__c numeric(19),",,,,a,,GMA Renewal Term Months,,,
"   gma_service_level__c varchar(4099),",,,enum,p,gma_service_level_list,GMA Service Level,,,
"   gma_termination_prior_to_renewal__c bool NOT NULL,",,,,p,,GMA Termination Prior to Renewal,,,
"   gpo_affiliation_verified__c bool NOT NULL,",,,,p,,GPO Affiliation Verified,,,
"   status_category_text__c varchar(1300),",,,,a,,,,,
"   gpo_idn__c varchar(255),",,,,a,,GPO IDN,,,
"   gp_quotes_received__c bool NOT NULL,",,,,p,,GP Quotes Received,,,
"   global_permissions__c varchar(255),",,,enum,s,global_permissions_list,,,,
"   global_permitted__c bool NOT NULL,",,,,s,,,,,
"   governing_law_state__c varchar(255),",,,enum,a,governing_law_state_list,,,,
"   grace_period__c varchar(255),",,,enum,s,the30_60_90_list,,,,
"   hardware_gma__c bool NOT NULL,",,,,p,,Hardware GMA,,,
"   hardware_pricing_discount__c bool NOT NULL,",,,,p,,,,,
"   hire_client_mt_s__c bool NOT NULL,",,,,s,,Hire Client MTs,,,
"   hosting_auto_renew__c bool NOT NULL,",,,,p,,,,,
"   hosting_effective_date__c date,",,,,p,,,,,
"   hosting_expiration_date__c date,",,,,p,,,,,
"   hosting_renewal_start_date__c date,",,,,p,,,,,
"   hosting_renewal_term_months__c numeric(19),",,,,p,,,,,
"   hosting_term_months__c numeric(19),",,,,p,,,,,
"   hosting_termination_prior_to_renewal_day__c varchar(255),",,,,p,,,,,
"   hosting_term_notice_period_dd__c varchar(255),",,,enum,p,the30_60_90_list,Hosting Term Notice Period DD,,,
"   name_of_product__c varchar(4099),",,,multienum,p,product_name_list,,,,
"   implementation_and_training_discount__c bool NOT NULL,",,,,p,,Professional Services Discount,,,
"   attachment_to_master__c varchar(255),",,,enum,a,baa_list,,,,
"   intellectual_property_general_informatio__c varchar(255),",,,enum,a,intell_prop_gen_info_list,Intellectual Property General Info,,,
"   interest_on_late_payments__c varchar(255),",,,enum,a,interest_pymt_list,Interest on Late Payments,,,
"   legacy_agreement_number__c varchar(20),",,,,a,,,,,
"   legal_entity__c varchar(255),",,,,a,,,,,
"   legal_notices__c varchar(4099),",,,multienum,a,legal_notices_list,,,,
"   limitation_of_liability__c bool NOT NULL,",,,,a,,,,,
"   limited_liability_cap__c varchar(255),",,,,a,,,,,
"   m_modal_travel_living_policy__c bool NOT NULL,",,,,s,,,,,
"   gma_annual_increase__c varchar(255),",,,enum,p,pricing_increase_list,GMA Annual Increase,,,
"   maintenance_and_support_attachment_effec__c date,",,,multienum,p,gma_product_list,,,,
"   maintenance_and_support_attachment_expir__c date,",,,,p,,,,,
"   maintenance_and_support_attachment_numbe__c numeric(19),",,,,p,,,,,
"   maintenance_and_support_auto_renew__c bool NOT NULL,",,,,p,,,,,
"   master_general_notes__c text,",,,,a,,,,,
"   maintenance_and_support_renewal_term_mon__c numeric(19),",,,,p,,,,,
"   maintenance_and_support_sow_date__c date,",,,,p,,,,,
"   maintenance_and_support_sow_version__c numeric(19),",,,,p,,,,,
"   maintenance_and_support_term_years__c numeric(19),",,,,p,,,,,
"   maintenance_and_support_termination_prio__c bool NOT NULL,",,,,p,,,,,
"   maintenance_and_support_year_1__c varchar(255),",,,,p,,,,,
"   maintenance_and_support_year_2__c numeric(19),",,,,p,,,,,
"   maintenance_and_support_year_3__c numeric(19),",,,,p,,,,,
"   material_default_cure_period__c varchar(255),",,,enum,a,gen_period_list,,,,
"   mutual_default__c bool NOT NULL,",,,,a,,,,,
"   agreement_summary__c text,",,,,a,,,,,
"   number_of_mt_s_for_hire__c numeric(19),",,,,s,,Number of MTs for Hire,,,
"   other_transcription_platform__c varchar(255),",,,,s,,,,,
"   ownership_group_expiration_notice__c varchar(255),",,,enum,a,contract_os_grp_exp_notice_list,,,,
"   ownership_group__c varchar(255),",,,enum,a,contract_ownership_group_list,,,,
"   passive_adaptation_type__c varchar(255),",,,enum,a,intell_prop_gen_info_list,,,,
"   passive_adaptation__c bool NOT NULL,",,,,a,,,,,
"   payment_terms_start_from__c varchar(255),",,,enum,a,contract_payment_start_term_list,,,,
"   payment_terms__c varchar(255),",,,enum,a,contract_payment_terms_list,,,,
"   payment_type__c varchar(4099),",,,multienum,a,payment_type_list,,,,
"   primary_contact_address__c varchar(1300),",,,,a,,,,,
"   primary_contact_phone_number__c varchar(1300),",,,,a,,,,,
"   product_attachment_effective_date__c date,",,,,p,,,,,
"   product_attachment_expiration_date__c date,",,,,p,,,,,
"   product_attachment_number__c numeric(19),",,,,p,,,,,
"   product_billing__c varchar(255),",,,enum,p,product_billing_list,,,,
"   product_cia__c bool NOT NULL,",,,,p,,Product CIA,,,
"   product_gma_annual_increase__c varchar(255),",,,enum,p,pricing_increase_list,Product GMA Annual Increase,,,
"   product_gma_auto_renew__c bool NOT NULL,",,,,p,,Product GMA Auto Renew,,,
"   product_gma_effective_date__c date,",,,,p,,Product GMA Effective Date,,,
"   product_gma_expiration_date__c date,",,,,p,,Product GMA Expiration Date,,,
"   product_gma_renewal_start_date__c date,",,,,p,,Product GMA Renewal Start Date,,,
"   product_gma_renewal_term_months__c numeric(19),",,,,p,,Product GMA Renewal Term Months,,,
"   product_gma_renewal_term__c numeric(19),",,,,p,,Product GMA Renewal Term,,,
"   product_gma_service_level__c varchar(4099),",,,multienum,p,gma_service_level_list,Product GMA Service Level,,,
"   product_gma_term_months__c numeric(19),",,,,p,,Product GMA Term Months,,,
"   product_gma_termination_period_dd__c numeric(19),",,,,p,,Product GMA Terminatino Period DD,,,
"   product_gma_termination_prior_to_ren_pic__c varchar(255),",,,enum,p,the30_60_90_list,Product GMA Termination Prior to Ren Pic,,,
"   product_hosted__c bool NOT NULL,",,,,p,,,,,
"   product_maintenance_and_support_auto_ren__c bool NOT NULL,",,,,p,,,,,
"   product_maintenance_and_support_effectiv__c date,",,,,p,,,,,
"   product_maintenance_and_support_expirati__c date,",,,,p,,,,,
"   product_maintenance_and_support_service__c varchar(255),",,,,p,,,,,
"   product_maintenance_and_support_term_mo__c numeric(19),",,,,p,,,,,
"   product_perpetual__c bool NOT NULL,",,,,p,,,,,
"   product_sow_date__c date,",,,,p,,Product SOW Date,,,
"   product_sow_version__c numeric(19),",,,,p,,Product SOW Version,,,
"   product_term_months__c numeric(19),",,,,p,,,,,
"   progress_bar__c varchar(1300),",,,,a,,,,,
"   purchase_order_language__c bool NOT NULL,",,,,a,,,,,
"   qa_penalty_standard__c bool NOT NULL,",,,,s,,QA Penalty Standard,,,
"   late_fees__c bool NOT NULL,",,,,a,,,,,
"   qa_program__c bool NOT NULL,",,,,s,,QA Program,,,
"   region__c varchar(255),",,,enum,a,sales_region_list,,,,
"   request_date__c date,",,,,a,,Request Date Other,,,
"   right_to_dispute_waiver__c bool NOT NULL,",,,,a,,,,,
"   right_to_dispute__c bool NOT NULL,",,,,a,,,,,
"   stat_report_tat__c numeric(19),",,,,s,,Stat Report TAT,,,
"   service_or_product_warranty__c varchar(255),",,,enum,a,intell_prop_gen_info_list,,,,
"   shipping__c varchar(255),",,,,p,,Shipping,,,
"   software_maintenance_and_support__c bool NOT NULL,",,,,p,,Software GMA,,,
"   software_pricing_discount__c bool NOT NULL,",,,enum,p,software_pricing_discount_list,,,,
"   suspend_services_notice_period__c varchar(255),",,,enum,a,contract_suspend_period_list,,,,
"   suspend_services__c bool NOT NULL,",,,,a,,,,,
"   tat_credit_details__c text,",,,,s,,TAT Credit Details,,,
"   tat_credit_standard__c bool NOT NULL,",,,,s,,TAT Credit Standard,,,
"   tat_credits__c bool NOT NULL,",,,,s,,TAT Credits,,,
"   tos_attachment_number__c numeric(19),",,,,s,,TOS Doc Number,,,
"   tos_auto_renew__c bool NOT NULL,",,,,s,,TOS Auto Renew,,,
"   tos_billing__c varchar(255),",,,enum,s,tos_billing_list,TOS Billing,,,
"   tos_commitment__c varchar(255),",,,enum,s,tos_commitment_list,TOS Commitment,,,
"   tos_effective_date__c date,",,,,s,,TOS Effective Date,,,
"   tos_evergreen__c bool NOT NULL,",,,,s,,TOS Evergreen,,,
"   tos_expiration_date__c date,",,,,s,,TOS Expiration Date,,,
"   tos_price_book_rate__c bool NOT NULL,",,,enum,s,tos_price_book_rate_list,TOS Price Book Rate,,,
"   tos_pricing_category_rate__c numeric(19),",,,,s,,TOS Pricing Category Rate,,,
"   tos_pricing_category_uom__c varchar(255),",,,enum,s,acct_tos_uom_list,TOS Pricing Category UOM,,,
"   tos_pricing_category__c varchar(4099),",,,multienum,s,tos_pricing_category_list,TOS Pricing Category,,,
"   tos_pricing_increase__c varchar(255),",,,enum,s,pricing_increase_list,TOS Pricing Increase,,,
"   tos_pricing_other__c text,",,,,s,,TOS Pricing,,,
"   tos_renewal_consent__c bool NOT NULL,",,,,s,,TOS Renewal Consent,,,
"   tos_renewal_notification_period_dd__c numeric(19),",,,,s,,TOS Renewal Notification Period DD,,,
"   tos_renewal_start_date__c date,",,,,s,,TOS Renewal Start Date,,,
"   tos_renewal_term_mm__c numeric(19),",,,,s,,TOS Renewal Term MM,,,
"   tos_renewal_terms__c text,",,,,s,,TOS Renewal Terms,,,
"   tos_revenue__c numeric(19),",,,,s,,TOS Revenue,,,
"   tos_term_mm__c numeric(19),",,,,s,,TOS Term MM,,,
"   tos_term_for_convenience_notice_dd__c numeric(19),",,,,s,,TOS Term for Convenience Notice DD,,,
"   tos_termination_prior_to_renewal_days__c varchar(255),",,,enum,s,the30_60_90_list,TOS Termination Prior to Renewal Days,,,
"   tos_termination_prior_to_renewal__c bool NOT NULL,",,,,s,,TOS Termination Prior to Renewal,,,
"   tos_termination_for_convenience_notice__c numeric(19),",,,,s,,TOS Termination for Convenience Notice,,,
"   tos_termination_for_convenience__c bool NOT NULL,",,,enum,s,tos_term_for_conv_list,TOS Termination for Convenience,,,
"   tax_exempt__c bool NOT NULL,",,,,a,,,,,
"   termination_for_default__c bool NOT NULL,",,,,a,,,,,
"   transcription_platform__c varchar(255),",,,enum,s,contract_tos_list,,,,
"   travel_living_fees__c bool NOT NULL,",,,,s,,,,,
"   type_of_product_services__c varchar(4099),",,,multienum,a,contract_product_list,,,,
"   type_of_request__c varchar(4099),",,,multienum,a,contract_type_of_request_list,,,,
"   ucid__c varchar(5),",,,,a,,UCID,,,
"   union_mt_s__c bool NOT NULL,",,,,s,,Union MTs,,,
"   use_of_data_continuous_improvement__c varchar(255),",,,enum,a,intell_prop_gen_info_list,,,,
"   volume_guarantee__c varchar(255),",,,,s,,,,,
"   qa_penalty_details__c varchar(2000),",,,,s,,QA Penalty Details,,,
"   fft_pricing_category__c varchar(4099),",,,,s,,FFT Pricing Category,,,
"   gpo_affiliation__c varchar(18),",,,,a,,,,,
"   included_optional_system_components__c varchar(4099),",,,multienum,s,included_optional_system_components_list,Included Optional System Components,,,
"   idn_affiliation__c varchar(18),",,,,a,,IDN Affiliation,,,
"   maintenance_and_support_product__c varchar(4099),",,,,a,,,,,
"   sent_to_comm_ops__c date,",,,,a,,,,,
"   tos_general_notes__c text,",,,,s,,TOS General Notes,,,
"   fft_general_notes__c text,",,,,s,,FFT General Notes,,,
"   coding_general_notes__c text,",,,,p,,,,,
"   product_general_notes__c text,",,,,p,,,,,
"   maintenance_general_notes__c text,",,,,a,,,,,
"   enhanced_data_use_rights_language__c varchar(255),",,,enum,a,intell_prop_gen_info_list,Use of Data Rights Language,,,
"   time_in_pipeline__c numeric(19),",,,,a,,,,,
"   apttus__allowableoutputformats__c varchar(4099),",,,,a,,Allowable Output Formats,,,
"   apttus__isinternalreview__c bool NOT NULL,",,,,a,,Is Internal Review,,,
"   apttus__islocked__c bool NOT NULL,",,,,a,,Is Locked,,,
"   apttus__latestdocid__c varchar(255),",,,,a,,Latest Doc ID,,,
